image,age,male,country,cyber.event,cyber.crime,risk,pre.reason,post.reason,pre.conf,post.conf
0,36,0,United Kingdom,0.5,0,0.381,1,0,8,5
0,37,0,United Kingdom,0.667,1,0.429,1,0.667,9,5
0,59,0,United Kingdom,0.833,0,0.429,0.5,0,6,4
0,64,0,United Kingdom,0.667,0.333,0.476,0,0.5,6,5
0,28,0,Portugal,0.5,0.333,0.405,1,0.5,8,5
0,29,1,United Kingdom,0.667,0.333,0.548,0.5,1,6,6
0,37,0,United Kingdom,0.667,0.667,0.524,0.667,0,8,5
0,43,1,United Kingdom,0.667,0.333,0.429,0.5,0,9,4
0,37,1,United Kingdom,0.833,0,0.238,1,1,10,10
0,37,0,United Kingdom,0.667,0,0.476,0.667,0.333,8,5
0,41,0,United Kingdom,1,0,0.357,0.333,0,6,3
0,58,0,United Kingdom,0.833,0,0.19,1,0,9,6
0,45,0,United Kingdom,0.5,0.333,0.405,1,0,8,8
0,29,1,United Kingdom,0.667,0,0.476,0.667,0,7,4
0,53,0,United Kingdom,1,0.667,0.31,0.5,0.5,4,3
0,33,0,United Kingdom,0.333,0,0.286,0.5,0.5,6,4
0,48,1,United Kingdom,0.833,0.333,0.238,0.5,0,6,2
0,47,0,United Kingdom,0.667,1,0.381,1,0.5,8,5
0,24,1,United Kingdom,0.5,0.333,0.357,1,0,7,4
0,26,0,United Kingdom,1,0.333,0.238,1,0,9,2
0,47,1,United Kingdom,1,0.333,0.31,0.25,0.333,6,2
0,29,0,United Kingdom,0.833,0.333,0.381,0.667,0.333,8,3
0,52,1,Ireland,0.833,0.333,0.548,0.667,0.5,8,3
0,32,1,United Kingdom,0.667,0.667,0.357,0,0.5,4,5
0,33,1,United Kingdom,0.667,1,0.452,0,0.333,3,2
0,57,0,United Kingdom,0.667,0.333,0.167,0.333,0,8,2
0,30,0,United Kingdom,0.667,0.667,0.476,1,0,7,4
0,34,0,United Kingdom,0.833,0.667,0.262,0,0.5,6,4
0,50,0,United Kingdom,0.5,0.333,0.286,0.5,0.5,7,7
